Eruption	Comment	SiO2	TiO2	Al2O3	FeOt	MnO	MgO	CaO	Na2O	Cr2O3	NiO	Total			
ETNA / AD 1974	1974 WESTERN FLANK ERUPTION	48.45	1.4	5.64	8.24		13.6	22.29	0.32			99.94			
ETNA / AD 1974	1974 WESTERN FLANK ERUPTION	49.54	1.35	5.03	8.47		14.41	21.35	0.31			100.46			
ETNA / AD 1974		45.15	2.34	8.57	8.51	0.0875	11.76	22.61	0.3452	0.054		99.4267			
ETNA / AD 1974		45.26	2.12	8.09	8.13	0.0905	11.99	22.86	0.3878	0.0143		98.9426			
ETNA / AD 1974		45.72	2.02	7.4	8.16	0.1148	12.36	22.45	0.3401	0.0583		98.6232			
ETNA / AD 1974		47.02	1.74	6.99	7.67	0.0725	12.69	22.81	0.3916	0.0289		99.413			
ETNA / AD 1974		46.86	1.7	7.71	7.79	0.0967	13.01	22.34	0.2817	0.0864		99.8748			
ETNA / AD 1974		47.02	1.68	6.37	7.55	0.0967	13.08	22.41	0.3294	0.1541		98.6902			
ETNA / AD 1974		47.62	1.5363	5.79	7.08	0.1573	13.26	22.53	0.348	0.1357		98.4573			
ETNA / AD 1974		48.06	1.4721	5.73	7.43	0.0877	13.31	22.41	0.3575	0.1364		98.9937			
ETNA / AD 1974		47.29	1.5334	6.01	7.15	0.1392	13.07	22.8	0.2566	0.1509		98.4001			
ETNA / AD 1974		48.32	1.3997	5.64	6.99	0.1785	13.55	22.29	0.2765	0.1604		98.8051			
ETNA / AD 1974		48.485	1.4414	5.27	7.565	0.13455	13.36	21.705	0.415	0.2779		98.65385			
ETNA / AD 1974		48.56	1.2761	5.17	7.54	0.1575	13.48	22.42	0.3534	0.2624		99.2194			
ETNA / AD 1974		48.65	1.4831	4.9	8.14	0.0906	13.17	21.12	0.5535	0.0668		98.174			
ETNA / AD 1974		48.69	1.5457	4.81	8.36	0.1661	13.17	21.48	0.6187	0.0842		98.9247			
ETNA / AD 1974		48.8	1.5628	5.09	8.52	0.2115	13.35	21.96	0.6763	0.0332		100.2038			
ETNA / AD 1974		49.34	1.4879	5.13	8.39	0.1994	13.11	21.82	0.5618	0.0107		100.0498			
ETNA / AD 1974		48.23	1.5946	5.01	8.68	0.2023	13.11	21.69	0.6039	0.0129		99.1337			
ETNA / AD 1974		49.06	1.5114	4.88	8.24	0.281	13.06	21.85	0.5454	0.0752		99.503			
ETNA / AD 1974		49.19	1.4797	4.81	8.59	0.1812	13.21	21.19	0.6379	0.0712		99.36			
ETNA / AD 1974		49.45	1.5506	4.71	8.16	0.2056	13.46	21.6	0.7208	0.0379		99.8949			
ETNA / AD 1974		49.07	1.3345	4.64	8.24	0.1783	13.41	21.43	0.4954	0		98.7982			
ETNA / AD 1974		49.59	1.4342	4.41	8.43	0.1602	13.48	21.63	0.7121	0.0123		99.8588			
ETNA / AD 1974		49.86	1.3943	4.45	8.33	0.1996	13.66	21.58	0.5705	0		100.0444			
ETNA / AD 1974		49.75	1.3406	4.38	7.97	0.2269	13.5	22.08	0.6059	0		99.8534			
ETNA / AD 1974		49.81	1.2604	4.38	8.22	0.1875	13.53	21.59	0.5791	0		99.557			
ETNA / AD 1974		49.79	1.2595	4.29	8.05	0.1998	13.5	21.68	0.5488	0.0031		99.3212			
ETNA / AD 1974		50.71	1.4013	4.42	8.29	0.2572	14.18	21.4	0.5018	0.0573		101.2176			
